CODE,DESCRIPTION
40055000,Chronic sinusitis (disorder)
444814009,Viral sinusitis (disorder)
195662009,Acute viral pharyngitis (disorder)
10509002,Acute bronchitis (disorder)
43878008,Streptococcal sore throat (disorder)
284551006,Laceration of foot
75498004,Acute bacterial sinusitis (disorder)
70704007,Sprain of wrist
65363002,Otitis media
162864005,Body mass index 30+ - obesity (finding)
38822007,Cystitis
65966004,Fracture of forearm
196416002,Impacted molars
72892002,Normal pregnancy
36971009,Sinusitis (disorder)
271737000,Anemia (disorder)
19169002,Miscarriage in first trimester
156073000,Fetus with unknown complication
15777000,Prediabetes
59621000,Hypertension
301011002,Escherichia coli urinary tract infection
39848009,Whiplash injury to neck
49436004,Atrial Fibrillation
44465007,Sprain of ankle
283371005,Laceration of forearm
254837009,Malignant neoplasm of breast (disorder)
283385000,Laceration of thigh
239873007,Osteoarthritis of knee
398254007,Preeclampsia
232353008,Perennial allergic rhinitis with seasonal variation
58150001,Fracture of clavicle
233678006,Childhood asthma
370247008,Facial laceration
241929008,Acute allergic reaction
62106007,Concussion with no loss of consciousness
197927001,Recurrent urinary tract infection
55822004,Hyperlipidemia
239872002,Osteoarthritis of hip
53741008,Coronary Heart Disease
68496003,Polyp of colon
79586000,Tubal pregnancy
35999006,Blighted ovum
230690007,Stroke
1734006,Fracture of the vertebral column with spinal cord injury
24079001,Atopic dermatitis
367498001,Seasonal allergic rhinitis
410429000,Cardiac Arrest
429007001,History of cardiac arrest (situation)
16114001,Fracture of ankle
403191005,Second degree burn
263102004,Fracture subluxation of wrist
44054006,Diabetes
302870006,Hypertriglyceridemia (disorder)
237602007,Metabolic syndrome X (disorder)
33737001,Fracture of rib
198992004,Antepartum eclampsia
82423001,Chronic pain
124171000119105,Chronic intractable migraine without aura
55680006,Drug overdose
64859006,Osteoporosis (disorder)
83664006,Idiopathic atrophic hypothyroidism
128613002,Seizure disorder
703151001,History of single seizure (situation)
446096008,Perennial allergic rhinitis
84757009,Epilepsy
22298006,Myocardial Infarction
399211009,History of myocardial infarction (situation)
408512008,Body mass index 40+ - severely obese (finding)
80394007,Hyperglycemia (disorder)
368581000119106,Neuropathy due to type 2 diabetes mellitus (disorder)
422034002,Diabetic retinopathy associated with type II diabetes mellitus (disorder)
1551000119108,Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)
431855005,Chronic kidney disease stage 1 (disorder)
127013003,Diabetic renal disease (disorder)
201834006,Localized  primary osteoarthritis of the hand
126906006,Neoplasm of prostate
92691004,Carcinoma in situ of prostate (disorder)
284549007,Laceration of hand
307731004,Injury of tendon of the rotator cuff of shoulder
87433001,Pulmonary emphysema (disorder)
74400008,Appendicitis
428251008,History of appendectomy
370143000,Major depression disorder
7200002,Alcoholism
48333001,Burn injury(morphologic abnormality)
30832001,Rupture of patellar tendon
62564004,Concussion with loss of consciousness
192127007,Child attention deficit disorder
444448004,Injury of medial collateral ligament of knee
713197008,Recurrent rectal polyp
40275004,Contact dermatitis
230265002,Familial Alzheimer's disease of early onset (disorder)
431856006,Chronic kidney disease stage 2 (disorder)
90781000119102,Microalbuminuria due to type 2 diabetes mellitus (disorder)
6072007,Bleeding from anus
236077008,Protracted diarrhea
363406005,Malignant tumor of colon
403190006,First degree burn
162573006,Suspected lung cancer (situation)
254637007,Non-small cell lung cancer (disorder)
424132000,Non-small cell carcinoma of lung  TNM stage 1 (disorder)
88805009,Chronic congestive heart failure (disorder)
185086009,Chronic obstructive bronchitis (disorder)
239720000,Tear of meniscus of knee
15724005,Fracture of vertebral column without spinal cord injury
449868002,Smokes tobacco daily
90560007,Gout
47693006,Rupture of appendix
26929004,Alzheimer's disease (disorder)
233604007,Pneumonia
5602001,Opioid abuse (disorder)
110030002,Concussion injury of brain
314994000,Metastasis from malignant tumor of prostate (disorder)
359817006,Closed fracture of hip
69896004,Rheumatoid arthritis
109838007,Overlapping malignant neoplasm of colon
97331000119101,Macular edema and retinopathy due to type 2 diabetes mellitus (disorder)
443165006,Pathological fracture due to osteoporosis (disorder)
275272006,Brain damage - traumatic
94260004,Secondary malignant neoplasm of colon
262574004,Bullet wound
1501000119109,Proliferative diabetic retinopathy due to type II diabetes mellitus (disorder)
444470001,Injury of anterior cruciate ligament
45816000,Pyelonephritis
95417003,Primary fibromyalgia syndrome
93761005,Primary malignant neoplasm of colon
254632001,Small cell carcinoma of lung (disorder)
67811000119102,Primary small cell malignant neoplasm of lung  TNM stage 1 (disorder)
36923009,Major depression  single episode
