risk_tier,CATEGORY,patient_count
Critical,CARDIOVASCULAR,56
Critical,ENDOCRINOLOGY,56
Critical,ENT,53
Critical,OTHER,47
Critical,DIABETES & COMPLICATIONS,41
Critical,NEPHROLOGY & ELECTROLYTES DISORDERS,36
Critical,NEUROLOGY / CEREBROVASCULAR,31
Critical,ORTHOPEDICS & RHEUMATOLOGY,30
Critical,PULMONOLOGY,29
Critical,DRUG INTERACTIONS / ADDICTION,20
Critical,GENERAL SURGERY,19
Critical,GYNECOLOGY & OBSTETRICS,15
Critical,TRAUMA,15
Critical,MALE REPRODUCTIVE,13
Critical,PSYCHIATRY,1
High,ENDOCRINOLOGY,219
High,CARDIOVASCULAR,211
High,ENT,208
High,PULMONOLOGY,134
High,OTHER,118
High,ORTHOPEDICS & RHEUMATOLOGY,116
High,GYNECOLOGY & OBSTETRICS,96
High,NEUROLOGY / CEREBROVASCULAR,93
High,TRAUMA,57
High,GENERAL SURGERY,47
High,NEPHROLOGY & ELECTROLYTES DISORDERS,30
High,DRUG INTERACTIONS / ADDICTION,29
High,MALE REPRODUCTIVE,13
High,DIABETES & COMPLICATIONS,12
High,PSYCHIATRY,4
Low,ENT,237
Low,PULMONOLOGY,85
Low,ORTHOPEDICS & RHEUMATOLOGY,64
Low,TRAUMA,39
Low,GYNECOLOGY & OBSTETRICS,24
Low,OTHER,23
Low,NEUROLOGY / CEREBROVASCULAR,15
Low,GENERAL SURGERY,9
Low,ENDOCRINOLOGY,4
Low,PSYCHIATRY,2
Low,CARDIOVASCULAR,1
Low,DRUG INTERACTIONS / ADDICTION,1
Medium,ENT,537
Medium,ENDOCRINOLOGY,366
Medium,PULMONOLOGY,265
Medium,CARDIOVASCULAR,226
Medium,GYNECOLOGY & OBSTETRICS,205
Medium,ORTHOPEDICS & RHEUMATOLOGY,205
Medium,OTHER,189
Medium,TRAUMA,161
Medium,NEUROLOGY / CEREBROVASCULAR,114
Medium,GENERAL SURGERY,65
Medium,NEPHROLOGY & ELECTROLYTES DISORDERS,37
Medium,DRUG INTERACTIONS / ADDICTION,21
Medium,PSYCHIATRY,18
Medium,MALE REPRODUCTIVE,4
